Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
539.370522,299.711749984161,59769
539.358038,299.28261946980194,59956
539.345554,298.85346908964556,60006
539.33307,298.4242988423105,60126
539.320586,297.99510872641775,60055
539.308102,297.5658987405816,60218
539.295618,297.1366688834295,60122
539.283134,296.7074191535823,60101
539.27065,296.2781495496544,60051
539.258166,295.8488600702646,60112
539.245682,295.41955071403805,60002
539.233198,294.9902214795935,60073
539.220714,294.56087236554754,59986
539.20823,294.1315033705167,60026
539.195746,293.7021144931262,60032
539.183262,293.2727057319948,60091
539.170778,292.843277085739,60101
539.158294,292.41382855297326,60114
539.14581,291.98436013232276,60113
539.133326,291.5548718224062,60034
539.120842,291.12536362183806,60055
539.108358,290.6958355292327,60001
539.095874,290.2662875432197,60070
539.08339,289.836719662409,59998
539.070906,289.4071318854216,60103
539.058422,288.97752421086756,60020
539.045938,288.5478966373764,60002
539.033454,288.11824916355823,60047
539.02097,287.68858178803174,60007
539.008486,287.2588945094113,60061
538.996002,286.82918732632,60074
538.983518,286.39946023737,59990
538.971034,285.9697132411823,60096
538.95855,285.5399463363648,60047
538.946066,285.11015952154474,60083
538.933582,284.68035279533444,60016
538.921098,284.2505261563483,60075
538.908614,283.8206796032007,60021
538.89613,283.3908131345147,60059
538.883646,282.9609267489025,60144
538.871162,282.53102044497854,60042
538.858678,282.10109422135935,60150
538.846194,281.6711480766571,60003
538.83371,281.24118200949493,60076
538.821226,280.81119601848286,59978
538.808742,280.38119010223744,60058
538.796258,279.95116425936874,59980
538.783774,279.52111848849984,60047
538.77129,279.09105278824296,60021
538.758806,278.6609671572102,60026
538.746322,278.23086159401396,60001
538.733838,277.8007360972751,60020
538.721354,277.3705906656035,60044
538.70887,276.94042529761595,60031
538.696386,276.51023999192023,59961
538.683902,276.0800347471372,60045
538.671418,275.6498095618791,60023
538.658934,275.2195644347582,60014
538.64645,274.7892993643867,60062
538.633966,274.35901434938114,60004
538.621482,273.92870938835154,60055
538.608998,273.49838447991453,60053
538.596514,273.068039622678,59987
538.58403,272.63767481525844,60062
538.571546,272.20729005627027,59975
538.559062,271.77688534432133,60036
538.546578,271.34646067802396,60022
538.534094,270.91601605599675,59914
538.52161,270.4855514768477,60043
538.509126,270.055066939189,60046
538.496642,269.6245624416284,59948
538.484158,269.19403798278483,59989
538.471674,268.7634935612682,59995
538.45919,268.3329291756865,59940
538.446706,267.9023448246519,59961
538.434222,267.47174050677876,60000
538.421738,267.0411162206793,59975
538.409254,266.61047196495934,60076
538.39677,266.1798077382288,59914
538.384286,265.7491235391065,60026
538.371802,265.3184193661981,60050
538.359318,264.88769521811366,60092
538.346834,264.4569510934611,60015
538.33435,264.02618699085696,60037
538.321866,263.5954029089091,60032
538.309382,263.16459884622543,60015
538.296898,262.7337748014181,59961
538.284414,262.30293077309085,60017
538.27193,261.8720667598622,60050
538.259446,261.44118276033794,59974
538.246962,261.010278773126,60031
538.234478,260.57935479683204,59997
538.221994,260.1484108300748,60033
538.20951,259.7174468714578,59940
538.197026,259.286462919589,60023
538.184542,258.85545897307406,60039
538.172058,258.4244350305317,59969
538.159574,257.9933910905612,60010
538.14709,257.56232715177686,59956
538.134606,257.1312432127779,59972
538.122122,256.7001392721831,60031
538.109638,256.2690153285938,60007
538.097154,255.83787138062226,59968
538.08467,255.40670742686765,59953
538.072186,254.97552346594654,60087
538.059702,254.54431949646465,60002
538.047218,254.11309551702553,59990
538.034734,253.68185152623707,60002
538.02225,253.2505875227093,60049
538.009766,252.81930350504797,60012
537.997282,252.38799947186092,59966
537.984798,251.9566754217474,60017
537.972314,251.52533135332396,59960
537.95983,251.09396726519196,60010
537.947346,250.6625831559593,60037
537.934862,250.23117902422518,59976
537.922378,249.79975486860837,59994
537.909894,249.36831068770584,59992
537.89741,248.93684648012336,59989
537.884926,248.50536224446662,60059
537.872442,248.07385797934785,60053
537.859958,247.64233368336411,59994
537.847474,247.2107893551254,60005
537.83499,246.779224993231,59988
537.822506,246.34764059629526,60053
537.810022,245.91603616291522,60018
537.797538,245.48441169170093,59933
537.785054,245.0527671812473,60002
537.77257,244.62110263017084,59990
537.760086,244.1894180370708,59971
537.747602,243.75771340054854,59986
537.735118,243.3259887192141,59995
537.722634,242.89424399166023,59874
537.71015,242.4624792165056,60013
537.697666,242.0306943923451,59974
537.685182,241.59888951778234,59988
537.672698,241.1670645914186,60025
537.660214,240.7352196118662,60059
537.64773,240.30335457771992,59993
537.635246,239.87146948758772,60032
537.622762,239.43956434006657,59920
537.610278,239.00763913376443,60088
537.597794,238.57569386728264,59975
537.58531,238.14372853922472,59972
537.572826,237.7117431481856,59906
537.560342,237.27973769277966,59968
537.547858,236.84771217160173,59968
537.535374,236.41566658325323,60016
537.52289,235.98360092633555,59989
537.510406,235.55151519945653,59928
537.497922,235.11940940121323,59907
537.485438,234.68728353020705,59971
537.472954,234.255137585035,60113
537.46047,233.82297156430715,59966
537.447986,233.39078546662054,59990
537.435502,232.9585792905744,59969
537.423018,232.5263530347679,59976
537.410534,232.09410669780897,59966
537.39805,231.66184027829462,60026
537.385566,231.22955377482407,59991
537.373082,230.7972471859922,59959
537.360598,230.36492051041122,60003
537.348114,229.93257374667382,60014
537.33563,229.50020689338143,60047
537.323146,229.0678199491289,59925
537.310662,228.63541291252193,60015
537.298178,228.2029857821619,59960
537.285694,227.77053855664153,59929
537.27321,227.33807123456003,59915
537.260726,226.9055838145231,59933
537.248242,226.4730762951278,59958
537.235758,226.04054867496902,59953
537.223274,225.6080009526459,59965
537.21079,225.1754331267599,60020
537.198306,224.7428451959102,59996
537.185822,224.31023715869168,59981
537.173338,223.87760901370137,60024
537.160854,223.444960759545,59995
537.14837,223.01229239481307,60029
537.135886,222.579603918107,59931
537.123402,222.14689532802169,60005
537.110918,221.7141666231541,60053
537.098434,221.28141780210782,59993
537.08595,220.84864886347341,59968
537.073466,220.41585980585222,60006
537.060982,219.98305062783697,59958
537.048498,219.55022132802904,59963
537.036014,219.11737190502328,59956
537.02353,218.68450235741676,59940
537.011046,218.25161268380216,60031
536.998562,217.81870288278307,59984
536.986078,217.38577295294996,60029
536.973594,216.9528228929021,60048
536.96111,216.51985270123004,59983
536.948626,216.08686237653941,59988
536.936142,215.6538519174165,59976
536.923658,215.22082132246263,59983
536.911174,214.7877705902684,59897
536.89869,214.3546997194351,60001
536.886206,213.92160870855335,59970
536.873722,213.48849755622015,59956
536.861238,213.05536626102602,59998
536.848754,212.6222148215724,59963
536.83627,212.18904323645197,60016
536.823786,211.7558515042574,59989
536.811302,211.32263962358144,59961
536.798818,210.88940759302326,59903
536.786334,210.45615541117562,60000
536.77385,210.02288307663116,59953
536.761366,209.58959058798047,60007
536.748882,209.1562779438249,60032
536.736398,208.722945142755,60038
536.723914,208.28959218336132,59984
536.71143,207.85621906423657,60108
536.698946,207.4228257839799,60014
536.686462,206.9894123411819,59951
536.673978,206.5559787344331,60004
536.661494,206.1225249623262,60036
536.64901,205.68905102345607,59970
536.636526,205.25555691641762,60039
536.624042,204.82204263979915,59945
536.611558,204.38850819219124,59954
536.599074,203.95495357219312,60022
536.58659,203.5213787783931,59955
536.574106,203.0877838093818,60029
536.5616219999999,202.6541686637475,59908
536.549138,202.22053334009163,59906
536.536654,201.7868778369982,59997
536.52417,201.3532021530621,59912
536.511686,200.91950628687388,59955
536.499202,200.48579023701973,59996
536.486718,200.05205400209667,60041
536.474234,199.61829758069527,60011
536.46175,199.18452097140602,59973
536.449266,198.750724172813,60015
536.436782,198.3169071835154,60016
536.424298,197.8830700021016,60000
536.411814,197.44921262715994,60036
536.39933,197.01533505727448,59988
536.386846,196.5814372910488,59976
536.374362,196.1475193270625,60100
536.361878,195.71358116391053,60090
536.349394,195.27962280017474,59975
536.33691,194.8456442344543,59970
536.324426,194.41164546533332,60021
536.311942,193.97762649140228,60037
536.299458,193.54358731124523,59989
536.286974,193.10952792345918,59933
536.27449,192.6754483266282,59989
536.262006,192.24134851934284,60011
536.249522,191.80722850018708,60065
536.237038,191.37308826775583,59991
536.224554,190.93892782063529,59979
536.21207,190.50474715741166,59980
536.199586,190.07054627666895,59944
536.187102,189.6363251770064,59961
536.174618,189.2020838570015,59976
536.162134,188.76782231524916,59938
536.14965,188.3335405503269,60044
536.137166,187.89923856083172,59987
536.124682,187.46491634534772,60004
536.112198,187.03057390246107,60020
536.099714,186.59621123075578,59968
536.08723,186.16182832882677,59989
536.074746,185.72742519525585,59978
536.062262,185.2930018286271,59962
536.049778,184.85855822752885,60032
536.037294,184.4240943905495,60001
536.02481,183.98961031627306,59951
536.012326,183.55510600328793,59904
535.999842,183.12058145017158,60005
535.987358,182.68603665552112,59966
535.974874,182.25147161791836,59994
535.96239,181.81688633594734,59987
535.949906,181.38228080819212,60043
535.937422,180.94765503323674,60027
535.924938,180.51300900967385,60026
535.912454,180.07834273608103,59983
535.89997,179.6436562110466,60056
535.887486,179.2089494331503,59995
535.875002,178.77422240098483,59992
535.862518,178.33947511312985,60033
535.850034,177.90470756817157,59998
535.83755,177.46991976468757,60017
535.825066,177.0351117012705,59951
535.812582,176.60028337650007,60016
535.800098,176.16543478896247,59999
535.787614,175.73056593723524,59960
535.77513,175.29567681990895,59954
535.762646,174.86076743556538,59964
535.750162,174.4258377827843,59988
535.737678,173.9908878601497,59967
535.725194,173.55591766624784,60039
535.71271,173.12092719966049,59981
535.700226,172.6859164589696,59965
535.687742,172.25088544275263,60079
535.675258,171.81583414960016,60060
535.662774,171.38076257809405,59966
535.65029,170.9456707268118,59960
535.637806,170.51055859433313,60036
535.625322,170.07542617924858,60034
535.612838,169.6402734801335,59974
535.600354,169.20510049557407,59978
535.58787,168.7699072241435,59944
535.575386,168.3346936644345,60015
535.562902,167.89945981502026,59932
535.550418,167.46420567448698,59996
535.537934,167.02893124140564,60005
535.52545,166.59363651437118,59990
535.512966,166.15832149195677,59993
535.500482,165.72298617274208,59983
535.487998,165.28763055530683,60017
535.475514,164.8522546382372,60057
535.46303,164.41685842011074,60047
535.450546,163.98144189950494,60027
535.438062,163.54600507499737,59998
535.425578,163.11054794517636,59989
535.413094,162.67507050861732,60005
535.40061,162.2395727638999,60022
535.388126,161.80405470960164,60047
535.375642,161.36851634430005,59962
535.363158,160.93295766658136,60006
535.350674,160.4973786750209,59995
535.33819,160.06177936819626,60059
535.325706,159.62615974468272,60061
535.313222,159.19051980306867,59976
535.300738,158.75485954192516,59942
535.288254,158.319178959834,60052
535.27577,157.88347805536844,59985
535.263286,157.4477568271125,60013
535.250802,157.0120152736415,59954
535.238318,156.57625339353518,59940
535.225834,156.14047118536453,60013
535.21335,155.7046686477136,59993
535.200866,155.26884577915988,59943
535.188382,154.83300257827878,60009
535.175898,154.39713904364348,60002
535.163414,153.96125517384016,60013
535.15093,153.52535096743983,59913
535.138446,153.0894264230179,59976
535.125962,152.65348153915187,60033
535.113478,152.2175163144214,59999
535.100994,151.78153074739973,59961
535.08851,151.34552483666653,59962
535.076026,150.9094985807885,60101
535.063542,150.47345197835398,60011
535.051058,150.03738502793402,60014
535.038574,149.6012977281018,60068
535.02609,149.16519007743267,59960
535.013606,148.72906207450634,59985
535.001122,148.292913717896,60027
534.988638,147.856745006177,59967
534.976154,147.4205559379182,59979
534.96367,146.98434651170578,59924
534.951186,146.54811672610646,59999
534.938702,146.11186657969992,59977
